name,reviews,competitors,website,owner_name,rating,link,domain
Exclusive Touch,21,,http://www.myexclusivetouch.com/,Exclusive Touch (Sahibi),5,https://www.google.com/maps/place/Exclusive+Touch/data=!4m7!3m6!1s0x80c2d2dbac753f75:0xb971744ef20d2c94!8m2!3d33.9184153!4d-118.0741758!16s%2Fg%2F1tf366r3!19sChIJdT91rNvSwoARlCwN8k50cbk?authuser=0&hl=tr&rclk=1,
Not Too Naughty,21,,http://www.secretsboutiques.com/,Not Too Naughty (Sahibi),3.2,https://www.google.com/maps/place/Not+Too+Naughty/data=!4m7!3m6!1s0x808fe79f3e9ecd31:0x958d79180ae90401!8m2!3d37.6812059!4d-121.7697182!16s%2Fg%2F1tplqkhs!19sChIJMc2ePp_nj4ARAQTpChh5jZU?authuser=0&hl=tr&rclk=1,
Excitement Love Boutique,20,,http://www.excitementgirl.net/,Excitement Love Boutique (Sahibi),4.8,https://www.google.com/maps/place/Excitement+Love+Boutique/data=!4m7!3m6!1s0x80c29947a033d2a9:0x6a914538a4aa126!8m2!3d34.1724857!4d-118.5656822!16s%2Fg%2F1td_hhvc!19sChIJqdIzoEeZwoARJqFKilMUqQY?authuser=0&hl=tr&rclk=1,
Secrets Boutique - El Cerrito,20,,http://www.secretsboutiques.com/,Secrets Boutique - El Cerrito (Sahibi),3.2,https://www.google.com/maps/place/Secrets+Boutique+-+El+Cerrito/data=!4m7!3m6!1s0x80857902ceb844f3:0xa0850e008c2bae82!8m2!3d37.9111986!4d-122.3088866!16s%2Fg%2F11b6v4nk2f!19sChIJ80S4zgJ5hYARgq4rjAAOhaA?authuser=0&hl=tr&rclk=1,
Secrets Boutique - Redwood City,19,,http://www.secretsboutiques.com/,Secrets Boutique - Redwood City (Sahibi),3.7,https://www.google.com/maps/place/Secrets+Boutique+-+Redwood+City/data=!4m7!3m6!1s0x808fa24cf6839327:0x72b825ea54d17dae!8m2!3d37.4867204!4d-122.2352203!16s%2Fg%2F1w0sd2zs!19sChIJJ5OD9kyij4ARrn3RVOoluHI?authuser=0&hl=tr&rclk=1,
Passion City Adult Store and Gifts,19,,http://passioncityadult.com/,Passion City Adult Store and Gifts (Sahibi),3.6,https://www.google.com/maps/place/Passion+City+Adult+Store+and+Gifts/data=!4m7!3m6!1s0x80dd26ebe6c981bd:0x8e8ae2fce9bf182a!8m2!3d33.7033014!4d-117.9896382!16s%2Fg%2F1tnct62q!19sChIJvYHJ5usm3YARKhi_6fziio4?authuser=0&hl=tr&rclk=1,
Secrets Boutique - Santa Rosa,19,,http://www.secretsboutiques.com/,Secrets Boutique - Santa Rosa (Sahibi),3.2,https://www.google.com/maps/place/Secrets+Boutique+-+Santa+Rosa/data=!4m7!3m6!1s0x808449d418027745:0xfb6e01bf75da0553!8m2!3d38.3970652!4d-122.7137458!16s%2Fg%2F1tdmkq4j!19sChIJRXcCGNRJhIARUwXadb8Bbvs?authuser=0&hl=tr&rclk=1,
Talk of the Valley Adult Superstore,19,,http://suzies.com/,Talk of the Valley Adult Superstore (Sahibi),3.8,https://www.google.com/maps/place/Talk+of+the+Valley+Adult+Superstore/data=!4m7!3m6!1s0x80c297cfb88a28a9:0xf3d1c3854ae84423!8m2!3d34.1508529!4d-118.4491973!16s%2Fg%2F11c1qmwp5t!19sChIJqSiKuM-XwoARI0ToSoXD0fM?authuser=0&hl=tr&rclk=1,
Spearmint Rhino Superstore,19,,https://spearmintrhinosuperstore.com/,Spearmint Rhino Superstore (Sahibi),4.2,https://www.google.com/maps/place/Spearmint+Rhino+Superstore/data=!4m7!3m6!1s0x80c2d6707988d1ef:0xc41963d844f817b0!8m2!3d34.0233714!4d-117.959603!16s%2Fg%2F11c48c9bxw!19sChIJ79GIeXDWwoARsBf4RNhjGcQ?authuser=0&hl=tr&rclk=1,
Good Vibrations Oakland,19,,http://www.goodvibes.com/,Good Vibrations Oakland (Sahibi),4.1,https://www.google.com/maps/place/Good+Vibrations+Oakland/data=!4m7!3m6!1s0x808f874179c3777b:0xea1cad333485db21!8m2!3d37.8104625!4d-122.2457844!16s%2Fg%2F12hm2gx7c!19sChIJe3fDeUGHj4ARIduFNDOtHOo?authuser=0&hl=tr&rclk=1,
Lovers Outlet,18,,https://loversoutlet.business.site/,Lovers Outlet (Sahibi),4.1,https://www.google.com/maps/place/Lovers+Outlet/data=!4m7!3m6!1s0x8091e3d9231c93e1:0x46facb963755b42f!8m2!3d37.0271267!4d-121.5666151!16s%2Fg%2F11clyyp3js!19sChIJ4ZMcI9njkYARL7RVN5bL-kY?authuser=0&hl=tr&rclk=1,
